region,month,demand_tons,cement_grade
Region_0,1,20425.406933718914,OPC
Region_0,2,23526.01757026698,PPC
Region_0,3,7317.381190502594,OPC
Region_0,4,22000.771555795985,PPC
Region_0,5,11617.960497052984,PPC
Region_0,6,12416.365043965328,PPC
Region_0,7,11503.66644053494,OPC
Region_0,8,16825.955754154544,PPC
Region_0,9,22744.25485152653,OPC
Region_0,10,12658.537495075798,OPC
Region_0,11,19264.8957444599,OPC
Region_0,12,19434.590423297464,OPC
Region_1,1,20419.34359909122,OPC
Region_1,2,5808.671790768627,OPC
Region_1,3,13550.820367170993,PPC
Region_1,4,13786.730037315403,OPC
Region_1,5,5628.583713734685,OPC
Region_1,6,14507.404463642235,OPC
Region_1,7,15171.413823294055,PPC
Region_1,8,7786.629088117514,OPC
Region_1,9,13207.658460712595,OPC
Region_1,10,9061.224494695387,OPC
Region_1,11,6539.59819657586,OPC
Region_1,12,18895.698660794093,PPC
Region_2,1,23593.95304685146,OPC
Region_2,2,10912.67371675428,OPC
Region_2,3,22429.211803754355,PPC
Region_2,4,9368.808744336671,PPC
Region_2,5,22851.179969799556,OPC
Region_2,6,11486.90042010548,OPC
Region_2,7,22921.825998469863,OPC
Region_2,8,23136.56883091508,OPC
Region_2,9,9558.703250838833,PPC
Region_2,10,5010.407539906317,OPC
Region_2,11,22214.611665126868,OPC
Region_2,12,8293.117062858835,OPC
Region_3,1,13348.22006297558,OPC
Region_3,2,18848.720657805407,PPC
Region_3,3,11752.303428072559,OPC
Region_3,4,8365.820843458612,PPC
Region_3,5,15375.812434867323,OPC
Region_3,6,13076.723421160816,PPC
Region_3,7,24435.641654419214,PPC
Region_3,8,9937.521256772023,OPC
Region_3,9,14944.97011784771,OPC
Region_3,10,7961.738599067998,PPC
Region_3,11,5737.7389470906555,OPC
Region_3,12,24532.29911665306,PPC
Region_4,1,6029.575024999787,OPC
Region_4,2,11901.424960533659,OPC
Region_4,3,9791.237813339449,PPC
Region_4,4,15618.691666342727,PPC
Region_4,5,24713.009082212015,PPC
Region_4,6,16853.93447758787,OPC
Region_4,7,20232.39230657435,OPC
Region_4,8,9843.198765548517,PPC
Region_4,9,12355.662654385065,PPC
Region_4,10,24668.46281789686,PPC
Region_4,11,15715.493681495169,PPC
Region_4,12,20966.902499691023,OPC
