region,month,demand_tons
Region_0,1,12427.653651669054
Region_0,2,5515.827816728276
Region_0,3,18639.80603118173
Region_0,4,8881.699724000253
Region_0,5,14937.83426530973
Region_0,6,9675.666141341164
Region_0,7,12801.020317667162
Region_0,8,13200.654190149195
Region_0,9,7772.816832882905
Region_0,10,19543.769416468378
Region_0,11,16626.992350416716
Region_0,12,19092.484123462837
Region_1,1,18422.410256414732
Region_1,2,13968.499682166277
Region_1,3,18828.11352534675
Region_1,4,6327.387530778793
Region_1,5,7939.742936287178
Region_1,6,5678.409333658071
Region_1,7,9879.954961448966
Region_1,8,10830.15934534223
Region_1,9,9070.235476608439
Region_1,10,17431.06263727894
Region_1,11,10351.29990040384
Region_1,12,9214.017645310712
Region_2,1,13140.441247373727
Region_2,2,7113.86337462144
Region_2,3,17032.954711310595
Region_2,4,6118.259655196563
Region_2,5,19803.304049007762
Region_2,6,16583.67153944986
Region_2,7,7980.735223012586
Region_2,8,5082.831756854036
Region_2,9,17231.92142682251
Region_2,10,15602.860157714256
Region_2,11,15935.107520614809
Region_2,12,16569.055200289185
Region_3,1,6110.669776011356
Region_3,2,10376.98592816409
Region_3,3,6738.035892876946
Region_3,4,17946.551388133903
Region_3,5,14349.471902413368
Region_3,6,9963.470372789738
Region_3,7,5953.375254290355
Region_3,8,9664.734825734933
Region_3,9,9877.749830401206
Region_3,10,15944.09267507096
Region_3,11,14563.362070328198
Region_3,12,18308.1911386449
Region_4,1,12083.223877429238
Region_4,2,6793.913689074526
Region_4,3,15698.671808344925
Region_4,4,16411.775729253462
Region_4,5,13419.157963542444
Region_4,6,16564.507699318416
Region_4,7,12406.933945465862
Region_4,8,12840.992440729911
Region_4,9,11413.115275378244
Region_4,10,5381.2869011614275
Region_4,11,6618.371404899567
Region_4,12,5471.437785301014
